Sum all Absenteeism,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Child,Social drinker,Social smoker,Pet
210,7,3,1,289,36,13,33,239.554,97,0,1,1,1,0,1
63,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0
362,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0
14,7,5,1,279,5,14,39,239.554,97,0,1,1,1,1,0
210,7,5,1,289,36,13,33,239.554,97,0,1,1,1,0,1
362,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0
146,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4
178,7,6,1,260,50,11,36,239.554,97,0,1,1,1,0,0
105,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1
178,7,2,1,260,50,11,36,239.554,97,0,1,1,1,0,0
178,7,3,1,260,50,11,36,239.554,97,0,1,1,1,0,0
178,7,4,1,260,50,11,36,239.554,97,0,1,1,1,0,0
362,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0
362,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0
118,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0
362,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0
362,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0
56,7,5,1,189,29,13,33,239.554,97,0,1,1,0,0,2
73,8,4,1,248,25,14,47,205.917,92,0,1,1,0,0,1
78,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0
362,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0
178,8,6,1,260,50,11,36,205.917,92,0,1,1,1,0,0
210,8,2,1,289,36,13,33,205.917,92,0,1,1,1,0,1
146,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4
210,8,3,1,289,36,13,33,205.917,92,0,1,1,1,0,1
15,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0
210,8,4,1,289,36,13,33,205.917,92,0,1,1,1,0,1
362,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0
362,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0
25,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5
105,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1
25,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5
362,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0
146,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4
210,8,3,1,289,36,13,33,205.917,92,0,1,1,1,0,1
6,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0
25,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5
178,8,6,1,260,50,11,36,205.917,92,0,1,1,1,0,0
27,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0
192,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0
362,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0
88,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0
76,9,4,1,155,12,14,34,241.476,92,0,1,1,1,0,0
192,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0
362,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0
101,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1
178,9,6,1,260,50,11,36,241.476,92,0,1,1,1,0,0
178,9,2,4,260,50,11,36,241.476,92,1,1,1,1,0,0
21,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2
219,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2
192,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0
210,9,3,4,289,36,13,33,241.476,92,1,1,1,1,0,1
63,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0
219,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2
362,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0
79,9,4,4,369,17,12,31,241.476,92,1,1,1,1,0,0
73,9,6,4,248,25,14,47,241.476,92,0,1,1,0,0,1
362,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0
178,9,6,4,260,50,11,36,241.476,92,0,1,1,1,0,0
362,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0
192,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0
63,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0
117,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0
362,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0
219,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2
192,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0
219,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2
73,10,4,4,248,25,14,47,253.465,93,0,1,1,0,0,1
101,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1
362,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0
219,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2
101,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1
219,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2
210,10,4,4,289,36,13,33,253.465,93,0,1,1,1,0,1
146,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4
178,10,6,4,260,50,11,36,253.465,93,0,1,1,1,0,0
362,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0
219,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2
362,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0
86,11,5,4,179,22,17,40,306.345,93,0,2,1,0,1,0
101,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1
56,11,2,4,189,29,13,33,306.345,93,0,1,1,0,0,2
219,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2
76,11,6,4,155,12,14,34,306.345,93,0,1,1,1,0,0
219,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2
